Points:0,Points:1,Points:2,U:0,U:1,U:2,Umag,Vorticity:0,Vorticity:1,Vorticity:2,Q,Qstar
0.4332272112,-0.9397477508,0,0.008807009086,0.0004367742222,-2.072327643e-09,0.00881783311,3.21677085e-08,1.995768528e-08,0.4766474366,-0.02202980034,-0.08811920136
0.396001637,-0.956032455,0,0.01613328606,0.002516269451,-1.898465829e-09,0.01632833522,2.945145816e-08,1.718177067e-08,0.6596018672,-0.02148634009,-0.08594536036
0.3581641614,-0.9708398581,0,0.02466192096,0.004380931612,-1.734121957e-09,0.02504801205,2.695234436e-08,1.460180421e-08,0.8637521267,-0.01731707342,-0.06926829368
0.3197733462,-0.9841469526,0,0.03440755978,0.005908503663,-1.580292119e-09,0.03491118139,2.457419335e-08,1.22751862e-08,1.088535905,-0.008206240833,-0.03282496333
0.2808886468,-0.9959332347,0,0.04535820335,0.006971563213,-1.43704304e-09,0.04589084119,2.227207752e-08,1.023039875e-08,1.332939625,0.007281167898,0.02912467159
0.2415703535,-1.006180286,0,0.0574709475,0.007440426387,-1.303585018e-09,0.05795058025,2.003432442e-08,8.460976808e-09,1.59547627,0.0306476783,0.1225907132
0.2018793374,-1.014872432,0,0.0706692338,0.007186857518,-1.178443565e-09,0.07103373513,1.783382331e-08,6.957208143e-09,1.874186993,0.06339003891,0.2535601556
0.1618770659,-1.021996021,0,0.08484227955,0.006088430062,-1.05966369e-09,0.08506045721,1.564143304e-08,5.708405748e-09,2.166676998,0.1068908274,0.4275633097
0.1216255203,-1.027540207,0,0.0998467952,0.004033659585,-9.451068816e-10,0.09992823886,1.344223133e-08,4.702051637e-09,2.470131874,0.1622892618,0.6491570473
0.08118703216,-1.031496286,0,0.1155051365,0.0009274986805,-8.329329448e-10,0.1155088604,1.124580606e-08,3.92222832e-09,2.781296968,0.2305837125,0.9223348498
0.04062424973,-1.033858061,0,0.131587252,-0.003306962317,-7.219172482e-10,0.1316287996,9.084480723e-09,3.34689787e-09,3.097322464,0.312455833,1.249823332
-7.687648695e-18,-1.034622073,0,0.1479647607,-0.008734771982,-6.11737605e-10,0.1482223554,6.997519453e-09,2.962306844e-09,3.41433382,0.407111913,1.628447652
0.756509006,-0.756509006,0,-0.02277647145,-0.0232894253,-6.58166055e-09,0.03257552736,5.492493216e-08,5.884786702e-08,-0.3157382011,0.003584762802,0.01433905121
0.7262659669,-0.7856815457,0,-0.02202128805,-0.0216059573,-6.403741981e-09,0.03085051893,5.428996985e-08,5.649711809e-08,-0.2531406581,-0.0009285656852,-0.003714262741
0.694896102,-0.8136389256,0,-0.02036472224,-0.01969140396,-6.171672062e-09,0.02832795971,5.306150186e-08,5.359911626e-08,-0.1780053526,-0.005948304199,-0.02379321679
